OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Wednesday,0,-79.3842059245105,43.6707982509655
Wednesday,0,-79.3457948187012,43.7036843035894
Wednesday,10,-79.3791313378142,43.6459808612379
Wednesday,0,-79.3832001629001,43.6543126531725
Wednesday,8,-79.5137965538313,43.7198240863369
Wednesday,8,-79.421673390898,43.7923239909928
Wednesday,9,-79.3383011325343,43.6741310288285
Wednesday,4,-79.4839287578705,43.7343540636839
Wednesday,4,-79.4019981704324,43.6476071214313
Wednesday,16,-79.4145751194734,43.7716977360472
Wednesday,3,-79.1740333794421,43.7613933196769
Tuesday,21,-79.4765867987994,43.7643128234304
Wednesday,3,-79.4062302421994,43.7276563231215
Wednesday,18,-79.3255139812618,43.6908142095598
Thursday,0,-79.2867261150234,43.7000781869406
Wednesday,2,-79.416729542636,43.6551091143985
Wednesday,1,-79.1329188043958,43.780412342407
Wednesday,13,-79.4201267709727,43.6740607873553
Tuesday,22,-79.1803903966762,43.8062818953841
Tuesday,21,-79.3866249913636,43.6508466511827
Wednesday,16,-79.4145751194734,43.7716977360472
Tuesday,19,-79.3416714444456,43.6650008197746
Wednesday,18,-79.3869697113281,43.7003066376343
Wednesday,18,-79.3942768172954,43.6547968700057
Wednesday,17,-79.2965953003418,43.8012621447981
Wednesday,17,-79.4961506537563,43.6108434581981
Wednesday,20,-79.4317187688005,43.7761826925919
Wednesday,20,-79.4000905001626,43.7054542831786
Wednesday,20,-79.4000905001626,43.7054542831786
Wednesday,17,-79.3482494044494,43.6936310026538
Wednesday,11,-79.3632205401035,43.6558739039472
Wednesday,17,-79.5676590015878,43.6576707054736
Wednesday,15,-79.2519241820587,43.7053104940261
Wednesday,9,-79.4379192288153,43.6403266371425
Wednesday,8,-79.3864118704696,43.6581677417367
Wednesday,0,-79.3457948187012,43.7036843035894
Wednesday,14,-79.4184128786274,43.6635785776359
Wednesday,20,-79.4587656767558,43.6685971568409
Wednesday,13,-79.4201267709727,43.6740607873553
Tuesday,7,-79.5544990085356,43.6417823595421
Tuesday,17,-79.3067569032264,43.7346523976587
Wednesday,15,-79.2361887165113,43.7218470872821
Wednesday,0,-79.5294778490325,43.6184722332727
Monday,18,-79.3824322371901,43.7643004602556
Tuesday,23,-79.3907926370796,43.6491251822183
Wednesday,0,-79.4366746847188,43.6629609013202
Wednesday,0,-79.5521446326527,43.6099263096554
Wednesday,1,-79.262120234735,43.7222733612912
Wednesday,1,-79.391279482384,43.6711273924786
Wednesday,1,-79.4399651036333,43.6364130624556
Wednesday,1,-79.4273095960693,43.6429274683516
Wednesday,1,-79.4803029396976,43.6833527454582
Wednesday,1,-79.4117848023346,43.6666143715903
Wednesday,1,-79.2810747937924,43.7657958510698
Wednesday,1,-79.391279482384,43.6711273924786
Wednesday,1,-79.1329188043958,43.780412342407
Wednesday,1,-79.3686285708986,43.6658689384264
Tuesday,22,-79.1803903966762,43.8062818953841
Wednesday,21,-79.4205714648155,43.6383021938943
Tuesday,23,-79.3907926370796,43.6491251822183
Wednesday,2,-79.3928553978209,43.6473145822947
Wednesday,2,-79.416729542636,43.6551091143985
Wednesday,2,-79.4128108420506,43.6509231848826
Wednesday,2,-79.3923248954141,43.6460483463878
Wednesday,2,-79.2352639027484,43.7577156731574
Wednesday,2,-79.4156053662171,43.6549457247932
Wednesday,2,-79.5097767709609,43.7604536720219
Wednesday,3,-79.3841540266399,43.6638977699362
Wednesday,3,-79.2147160171947,43.7686471366221
Wednesday,3,-79.3502294146631,43.646293183398
Wednesday,3,-79.4557922466025,43.6777736054271
Wednesday,3,-79.4110001034534,43.6496705271052
Wednesday,3,-79.3089872888018,43.7086737396447
Wednesday,3,-79.1740333794421,43.7613933196769
Wednesday,4,-79.3764972556894,43.6664227324718
Thursday,19,-79.3956244710586,43.6399394880405
Wednesday,4,-79.4019981704324,43.6476071214313
Wednesday,4,-79.3448392239802,43.6789458527888
Wednesday,6,-79.3061479209407,43.7006587367324
Wednesday,7,-79.4380604399811,43.6854562669841
Wednesday,12,-79.4020168455284,43.6683832516905
Wednesday,7,-79.5046985186308,43.7619540721002
Wednesday,14,-79.5161975699883,43.7001519748185
Wednesday,7,-79.3830259375415,43.6465989150729
Wednesday,20,-79.2050710293897,43.7864287499507
Wednesday,12,-79.1939039304973,43.7601696645258
Sunday,12,-79.3209206819723,43.7593590209075
